playerName,country,bowlType
AM Rahane,India,None
R Vinay Kumar,India,Pace
Harbhajan Singh,India,Spin
AT Rayudu,India,None
S Gopal,India,Spin
HH Pandya,India,Pace
RG Sharma,India,None
RV Uthappa,India,None
G Gambhir,India,None
Z Khan,India,Pace
MK Pandey,India,None
P Negi,India,Spin
KK Nair,India,None
MA Agarwal,India,None
SV Samson,India,None
SS Iyer,India,None
A Mishra,India,Spin
SK Raina,India,None
KD Karthik,India,None
WP Saha,India,None
AR Patel,India,Spin
RA Jadeja,India,Spin
Ishan Kishan,India,None
M Vijay,India,None
M Vohra,India,None
NV Ojha,India,None
S Dhawan,India,None
KV Sharma,India,Spin
DJ Hooda,India,None
A Ashish Reddy,India,None
SN Khan,India,None
V Kohli,India,None
KM Jadhav,India,None
PA Patel,India,None
YK Pathan,India,Spin
SA Yadav,India,None
MS Dhoni,India,None
R Bhatia,India,Pace
P Sahu,India,Pace
Sandeep Sharma,India,Pace
MM Sharma,India,Pace
KH Pandya,India,Spin
AD Nath,India,None
DS Kulkarni,India,Pace
P Kumar,India,Pace
B Kumar,India,Pace
R Ashwin,India,Spin
IK Pathan,India,Pace
STR Binny,India,Pace
KL Rahul,India,None
Ankit Sharma,India,None
M Ashwin,India,Spin
NS Naik,India,None
AP Tare,India,None
R Dhawan,India,Pace
UT Yadav,India,Pace
PP Chawla,India,Spin
R Sathish,India,Pace
Bipul Sharma,India,Spin
RR Pant,India,None
SS Tiwary,India,None
Sachin Baby,India,None
Parvez Rasool,India,Spin
Mohammed Shami,India,Pace
KC Cariappa,India,Spin
Gurkeerat Singh,India,None
Swapnil Singh,India,Spin
J Yadav,India,Spin
Yuvraj Singh,India,Spin
JJ Bumrah,India,Pace
BB Sran,India,Pace
N Rana,India,None
A Nehra,India,Pace
UBT Chand,India,Spin
S Kaushik,India,Spin
PV Tambe,India,Spin
S Nadeem,India,Spin
SB Jakati,India,Spin
Iqbal Abdulla,India,Spin
ER Dwivedi,India,None
Mandeep Singh,India,None
S Aravind,India,Pace
YS Chahal,India,Spin
A Choudhary,India,Pace
Vishnu Vinod,India,None
MK Tiwary,India,None
Basil Thampi,India,Pace
RA Tripathi,India,None
DL Chahar,India,Pace
AB Dinda,India,Pace
V Shankar,India,Pace
VR Aaron,India,Pace
RD Chahar,India,Spin
SN Thakur,India,Pace
JD Unadkat,India,Pace
I Sharma,India,Pace
Kuldeep Yadav,India,Spin
Washington Sundar,India,Spin
Anureet Singh,India,Pace
AR Bawne,India,None
SP Jackson,India,None
Ankit Soni,India,Spin
PJ Sangwan,India,Pace
S Kaul,India,Pace
R Tewatia,India,Spin
MM Patel,India,Pace
IR Jaggi,India,None
AS Rajpoot,India,Pace
RK Singh,India,Spin
K Gowtham,India,Spin
M Markande,India,Spin
Shubman Gill,India,None
Shivam Mavi,India,Pace
Mohammed Siraj,India,Pace
RK Bhui,India,None
PP Shaw,India,None
MK Lomror,India,None
DR Shorey,India,Spin
M Prasidh Krishna,India,Pace
HV Patel,India,Pace
P Chopra,India,Spin
Abhishek Sharma,India,Spin
SP Goswami,India,None
S Dube,India,Pace
NA Saini,India,Pace
Rasikh Salam,India,Pace
GH Vihari,India,None
P Ray Barman,India,Spin
Avesh Khan,India,Pace
SD Lad,India,Spin
R Parag,India,None
KK Ahmed,India,Pace
Harpreet Brar,India,Spin
Y Prithvi Raj,India,Pace
P Simran Singh,India,None
J Suchith,India,Spin
D Padikkal,India,None
PK Garg,India,None
T Natarajan,India,Pace
RD Gaikwad,India,None
YBK Jaiswal,India,None
Abdul Samad,India,None
KL Nagarkoti,India,Pace
Ravi Bishnoi,India,Spin
CV Varun,India,Spin
Arshdeep Singh,India,Pace
Kartik Tyagi,India,Pace
N Jagadeesan,India,None
TU Deshpande,India,Pace
P Dubey,India,Spin
Shahbaz Ahmed,India,Spin
RM Patidar,India,None
M Shahrukh Khan,India,None
Lalit Yadav,India,Spin
Virat Singh,India,None
C Sakariya,India,Pace
